developer,provider_count,mktShare,est_mips_2018,edition2015_base_status,provider_type_,provider_type_eligible clinician,provider_type_eligible hospital,market_impact_index
121,0.08125577100646351,0.029510395707578796,66,16,False,True,False,13.249481004215507
140,0.3287165281625115,0.11938296445338709,296,15,False,True,False,59.40017315341728
654,0.014773776546629733,0.005365526492287073,322,16,False,True,False,64.408996546221
141,0.06278855032317636,0.022803487592220006,260,16,False,True,False,52.03823532143925
142,0.018467220683287166,0.006706908115358811,163,16,False,True,False,32.61124568277625
144,0.24376731301939059,0.08853118712273633,332,14,False,True,False,66.54844301264652
143,0.19205909510618652,0.06975184439973162,255,16,False,True,False,51.116955100873014
145,1.0,0.3876592890677396,24,16,False,True,False,5.416297786720323
146,0.003693444136657433,0.0013413816230717671,1,16,False,True,False,0.20224913655525026
122,0.2253000923361034,0.08182427900737764,286,15,False,True,False,57.33719732987027
123,1.0,1.0,62,16,False,True,False,13.200000000000001
655,1.0,0.41851106639839036,128,15,False,True,False,26.22555331991952
147,1.0,1.0,137,3,False,True,False,28.200000000000003
148,0.029547553093259467,0.010731052984574123,133,16,False,True,False,26.617993092442003
151,0.39889196675900274,0.1448692152917505,58,7,False,True,False,11.842906747967028
153,0.0221606648199446,0.008048289738430598,1,15,False,True,False,0.2134948193315015
154,1.0,0.6277665995975868,47,14,False,True,False,10.088329979879276
152,0.0,0.0,1,15,False,True,False,0.2
155,0.25115420129270544,0.09121395036888,107,16,False,True,False,21.55294128575702
168,0.07017543859649122,0.02548625083836353,163,16,False,True,False,32.64273359454975
156,0.018467220683287166,0.006706908115358811,18,16,False,True,False,3.6112456827762514
656,0.06278855032317636,0.022803487592220006,106,16,False,True,False,21.23823532143926
657,1.0,1.0,185,15,False,True,False,37.8
170,0.42105263157894735,0.15291750503018103,316,15,False,True,False,63.45640156729853
658,0.08125577100646351,0.029510395707578796,298,16,False,True,False,59.64948100421551
158,0.0221606648199446,0.008048289738430598,289,16,False,True,False,57.8134948193315
659,0.0,0.0,1,16,False,True,False,0.2
660,0.0,0.0,18,16,False,True,False,3.6
160,0.014773776546629733,0.005365526492287073,113,16,False,True,False,22.608996546221004
171,0.5170821791320407,0.1877934272300468,178,15,False,True,False,35.91487911773503
172,1.0,1.0,206,14,False,True,False,42.0
173,0.09602954755309324,0.03487592219986584,101,16,False,True,False,20.25847755043651
661,1.0,1.0,189,13,False,True,False,38.6
662,0.003693444136657433,0.0013413816230717671,18,6,False,True,False,3.6022491365552503
664,0.0443213296398892,0.01609657947686117,105,16,False,True,False,21.026989638663004
163,0.32502308402585406,0.11804158283031524,238,16,False,True,False,47.79792401686203
663,0.15512465373961218,0.05633802816901423,307,15,False,True,False,61.494463735320515
174,0.10341643582640811,0.03755868544600942,30,16,False,True,False,6.062975823547007
175,0.007386888273314867,0.0026827632461435295,1,15,False,True,False,0.2044982731105005
176,0.05909510618651893,0.02146210596914822,72,16,False,True,False,14.435986184884005
161,1.0,1.0,68,16,False,True,False,14.400000000000002
162,0.18467220683287167,0.06706908115358842,64,16,False,True,False,12.912456827762513
177,0.7867036011080333,0.2857142857142859,193,16,False,True,False,39.079066086268305
178,0.029547553093259467,0.010731052984574123,196,16,False,True,False,39.21799309244201
179,0.7608494921514312,0.27632461435278355,273,16,False,True,False,55.06332213038155
181,0.0,0.0,1,16,False,True,False,0.2
183,1.0,1.0,88,15,False,True,False,18.400000000000002
184,0.0,0.0,1,16,False,True,False,0.2
185,0.040627885503231764,0.014755197853789386,260,15,False,True,False,52.024740502107754
186,0.0,0.0,1,0,False,True,False,0.2
665,1.0,0.6639839034205226,309,14,False,True,False,62.49919517102616
666,0.23268698060941828,0.0845070422535213,306,16,False,True,False,61.34169560298077
187,0.0,0.0,1,16,False,True,False,0.2
188,0.0,0.0,1,16,False,True,False,0.2
189,0.05909510618651893,0.02146210596914822,116,16,False,True,False,23.235986184884005
190,0.14035087719298245,0.0509725016767269,160,16,False,True,False,32.08546718909951
191,1.0,0.570087189805499,308,15,False,True,False,62.27102615694165
192,1.0,1.0,269,11,False,True,False,54.6
195,1.0,1.0,22,15,False,True,False,5.2
193,0.31394275161588175,0.11401743796109975,307,16,False,True,False,61.591176607196275
194,1.0,1.0,248,16,False,True,False,50.4
165,0.0443213296398892,0.01609657947686117,105,16,False,True,False,21.026989638663004
166,1.0,0.4144869215291753,10,16,False,True,False,2.6243460764587527
167,0.0443213296398892,0.01609657947686117,277,16,False,True,False,55.42698963866301
667,0.05170821791320406,0.018779342723004695,221,15,False,True,False,44.231487911773506
199,1.0,1.0,109,0,False,True,False,22.6
200,1.0,0.6948356807511737,326,15,False,True,False,65.90845070422536
201,0.0443213296398892,0.01609657947686117,1,14,False,True,False,0.22698963866300295
197,1.0,0.7981220657277012,259,1,False,True,False,52.539436619718316
202,1.0,1.0,38,15,False,True,False,8.4
203,0.029547553093259467,0.010731052984574123,18,16,False,True,False,3.617993092442002
204,1.0,1.0,330,14,False,True,False,66.8
205,0.09602954755309324,0.03487592219986584,283,16,False,True,False,56.65847755043651
207,1.0,0.4359490274983232,75,16,False,True,False,15.630784708249497
198,0.5170821791320407,0.1877934272300468,340,16,False,True,False,68.31487911773503
209,1.0,1.0,342,14,False,True,False,69.2
211,0.007386888273314867,0.0026827632461435295,91,16,False,True,False,18.2044982731105
212,0.014773776546629733,0.005365526492287073,1,16,False,True,False,0.208996546221001
213,0.5060018467220684,0.18376928236083176,273,14,False,True,False,54.908131708069284
214,0.4764542936288088,0.17303822937625757,277,15,False,True,False,55.69013861562729
215,0.0,0.0,1,16,False,True,False,0.2
216,0.014773776546629733,0.005365526492287073,322,12,False,True,False,64.408996546221
217,1.0,0.5861837692823619,209,3,False,True,False,42.475855130784716
218,0.7940904893813481,0.2883970489604291,265,15,False,True,False,53.4835643593788
668,1.0,1.0,315,15,False,True,False,63.8
219,0.0110803324099723,0.004024144869215287,63,16,False,True,False,12.606747409665752
220,1.0,1.0,208,15,False,True,False,42.4
221,0.11819021237303785,0.042924211938296465,153,16,False,True,False,30.67197236976801
227,1.0,1.0,157,15,False,True,False,32.2
228,0.003693444136657433,0.0013413816230717671,1,16,False,True,False,0.20224913655525026
229,1.0,0.5258215962441294,4,16,False,True,False,1.4577464788732388
222,0.2253000923361034,0.08182427900737764,344,1,False,True,False,68.93719732987026
223,1.0,1.0,150,1,False,True,False,30.8
230,0.05170821791320406,0.018779342723004695,147,16,False,True,False,29.431487911773505
231,0.07756232686980609,0.028169014084507057,311,16,False,True,False,62.24723186766026
232,0.06648199445983378,0.024144869215291746,15,15,False,True,False,3.0404844579945043
233,0.09602954755309324,0.03487592219986584,348,16,False,True,False,69.65847755043652
235,0.0,0.0,1,16,False,True,False,0.2
236,0.09602954755309324,0.03487592219986584,348,4,False,True,False,69.65847755043652
237,0.0,0.0,18,16,False,True,False,3.6
243,0.5577100646352724,0.2025486250838365,251,1,False,True,False,50.53961961984279
238,1.0,1.0,223,5,False,True,False,45.4
239,1.0,1.0,25,15,False,True,False,5.8
241,0.0110803324099723,0.004024144869215287,301,16,False,True,False,60.20674740966575
242,0.18467220683287167,0.06706908115358842,20,15,False,True,False,4.112456827762513
225,0.0,0.0,18,16,False,True,False,3.6
247,0.09972299168975068,0.03621730382293763,346,16,False,True,False,69.26072668699176
